num_envs,policy_lr,value_lr,gamma,gae_lambda,final_reward
8,0.0001,0.001,0.95,0.95,0.5426963398853134
4,0.0001,0.001,0.99,0.99,0.5413065338878377
4,0.0001,0.001,0.95,0.95,0.5341328257602523
4,0.0001,0.0001,0.95,0.99,0.5191686415067905
4,0.0001,0.003,0.95,0.9,0.5091314516497739
4,0.0001,0.0001,0.95,0.9,0.5063432040361975
8,0.0001,0.0001,0.95,0.9,0.4927165948968046
8,0.0001,0.0001,0.95,0.95,0.4903839425832395
8,0.0001,0.0001,0.999,0.95,0.48731693882297494
8,0.0001,0.001,0.99,0.95,0.47053861876742764
4,0.0001,0.001,0.999,0.95,0.46779616717898465
8,0.0001,0.003,0.95,0.9,0.4551806153442254
16,0.0003,0.001,0.95,0.9,0.41288438947082384
8,0.0001,0.0001,0.99,0.9,0.38796923945964323
8,0.0001,0.001,0.95,0.99,0.384170543469143
8,0.0001,0.0001,0.95,0.99,0.3603601650809656
8,0.0001,0.0001,0.999,0.9,0.34896694290556757
8,0.0001,0.0001,0.99,0.99,0.3347254808757072
8,0.0001,0.001,0.999,0.99,0.3285870365655302
8,0.0001,0.0001,0.999,0.99,0.3259279675019324
8,0.0001,0.003,0.99,0.99,0.3153339307934656
8,0.0001,0.001,0.99,0.99,0.30387247392095346
8,0.0001,0.003,0.99,0.95,0.23432496648226347
8,0.0001,0.003,0.99,0.9,0.16357002058500655
8,0.0001,0.0001,0.99,0.95,0.10223035882948124
8,0.0001,0.003,0.999,0.99,0.05301648010291183
16,0.0001,0.001,0.99,0.9,-0.052648456228759175
16,0.0001,0.0001,0.95,0.99,-0.12201129914611694
16,0.0001,0.001,0.95,0.99,-0.1225406460428864
16,0.0001,0.001,0.999,0.99,-0.1366409672832559
16,0.0001,0.003,0.95,0.9,-0.18281390121245505
16,0.0001,0.003,0.999,0.95,-0.1907035765377976
16,0.0001,0.001,0.95,0.95,-0.23431642855830936
16,0.0001,0.001,0.99,0.99,-0.25075213716769007
16,0.0001,0.001,0.95,0.9,-0.2703747928372315
16,0.0001,0.003,0.99,0.95,-0.27712812910286916
16,0.0001,0.0001,0.999,0.95,-0.27720944810676157
16,0.0001,0.0001,0.99,0.9,-0.278671140318709
16,0.0001,0.001,0.999,0.95,-0.2906205285859413
16,0.0001,0.0001,0.999,0.99,-0.2918952043392364
16,0.0001,0.0001,0.95,0.95,-0.2989511305359464
16,0.0001,0.003,0.99,0.9,-0.31156435008953304
16,0.0001,0.003,0.95,0.99,-0.31534156063326363
16,0.0001,0.001,0.99,0.95,-0.32866188056834106
16,0.0001,0.0001,0.999,0.9,-0.33130079452447136
16,0.0001,0.003,0.95,0.95,-0.34916187473164095
16,0.0001,0.001,0.999,0.9,-0.35560850393947335
16,0.0001,0.0001,0.99,0.95,-0.36527278292442394
16,0.0001,0.003,0.999,0.99,-0.3773584558332193
16,0.0001,0.003,0.999,0.9,-0.3961506725355164
16,0.0001,0.0001,0.99,0.99,-0.42001837505266826
16,0.0001,0.0001,0.95,0.9,-0.4412000637183239
16,0.0001,0.003,0.99,0.99,-0.573928377541496
