num_envs,policy_lr,value_lr,gamma,gae_lambda,final_reward
4,0.0003,0.0001,0.999,0.95,-350.7203725711666
4,0.0001,0.0001,0.999,0.99,-350.90310514142794
16,0.0001,0.001,0.99,0.95,-351.00195169912536
4,0.0001,0.001,0.999,0.99,-351.03279919916315
16,0.0003,0.0001,0.99,0.99,-351.17896939983336
16,0.001,0.003,0.999,0.99,-351.18670207736386
8,0.0001,0.001,0.99,0.95,-351.2250263409476
8,0.0001,0.0001,0.999,0.9,-351.23700674355837
16,0.0001,0.001,0.95,0.9,-351.3831352668328
8,0.0001,0.003,0.95,0.95,-351.43104992856485
16,0.0001,0.003,0.95,0.99,-351.5137842381461
4,0.001,0.003,0.999,0.99,-351.76305577610003
16,0.0003,0.001,0.99,0.9,-351.83424522257206
16,0.0001,0.001,0.999,0.9,-352.0038834671943
16,0.0003,0.0001,0.95,0.99,-352.2445379784791
8,0.0001,0.001,0.95,0.99,-352.5745564478701
4,0.0001,0.001,0.95,0.95,-352.9448686695103
4,0.0003,0.001,0.999,0.99,-353.33741250843923
4,0.0001,0.003,0.95,0.95,-353.3633783637912
16,0.0003,0.001,0.95,0.99,-353.3686878025185
16,0.0003,0.0001,0.99,0.95,-353.5591482332027
16,0.0001,0.0001,0.999,0.99,-353.6018749441505
8,0.0001,0.001,0.95,0.95,-353.7025793294677
16,0.001,0.003,0.99,0.9,-353.7985702100551
8,0.0003,0.003,0.95,0.9,-354.1301828599397
16,0.0001,0.003,0.99,0.9,-354.1622321219779
8,0.0001,0.001,0.999,0.99,-354.17316642956786
4,0.0003,0.0001,0.99,0.99,-354.20433104452985
8,0.0001,0.001,0.95,0.9,-354.29736487631317
16,0.001,0.001,0.999,0.99,-354.525751702292
4,0.0001,0.003,0.99,0.9,-354.60904555344314
16,0.0001,0.003,0.999,0.95,-354.644803327799
4,0.0001,0.0001,0.99,0.9,-354.84926956286284
8,0.0001,0.003,0.99,0.99,-354.8631867813298
4,0.0003,0.003,0.99,0.95,-355.002626791666
16,0.0001,0.0001,0.99,0.9,-355.02882021951393
4,0.0001,0.0001,0.95,0.95,-355.07836033639904
4,0.0003,0.003,0.999,0.95,-355.1674287375409
4,0.0003,0.001,0.99,0.99,-355.176482155443
4,0.0003,0.0001,0.999,0.99,-355.2224215908537
8,0.0001,0.0001,0.99,0.99,-355.4009275423684
16,0.0001,0.001,0.999,0.95,-355.5957023708911
8,0.0003,0.003,0.999,0.99,-355.8176943743413
8,0.0001,0.003,0.999,0.95,-356.123685498146
16,0.0003,0.001,0.95,0.9,-356.1923925672597
16,0.001,0.001,0.99,0.99,-356.3319876149867
4,0.0001,0.0001,0.99,0.99,-356.3473979465853
16,0.0001,0.001,0.999,0.99,-356.51264013935725
16,0.0001,0.0001,0.99,0.99,-357.0296946058164
8,0.0003,0.003,0.99,0.9,-357.1636181287006
16,0.001,0.0001,0.99,0.99,-357.27650951600714
4,0.0001,0.001,0.99,0.99,-357.9590114744986
8,0.0001,0.001,0.999,0.9,-358.31175039953246
16,0.0003,0.0001,0.999,0.95,-358.34837810182836
8,0.0001,0.0001,0.95,0.95,-358.52455337670705
16,0.0001,0.0001,0.95,0.9,-358.686682639506
16,0.0003,0.001,0.99,0.95,-358.9345958048338
16,0.0003,0.003,0.999,0.99,-359.2331422065136
16,0.0001,0.0001,0.999,0.9,-359.7382798146657
16,0.0003,0.001,0.95,0.95,-359.8321903668124
16,0.0003,0.001,0.999,0.9,-360.0555903160818
8,0.0001,0.003,0.99,0.9,-360.6324714564395
16,0.0001,0.001,0.99,0.9,-360.8463868615737
16,0.0001,0.0001,0.95,0.95,-360.9994415603107
16,0.0001,0.003,0.95,0.9,-361.0692690201638
16,0.0003,0.003,0.999,0.9,-361.08630368362196
16,0.0003,0.0001,0.999,0.99,-361.60893418872473
16,0.0003,0.003,0.95,0.99,-361.92601602110886
16,0.0003,0.003,0.99,0.95,-362.0426965982085
4,0.0001,0.0001,0.999,0.9,-362.09197017322674
16,0.0003,0.001,0.99,0.99,-362.65644813306477
16,0.0001,0.003,0.999,0.99,-363.99206518497033
16,0.0001,0.003,0.99,0.95,-365.0971125325903
16,0.0003,0.003,0.95,0.95,-367.1793617219686
16,0.0001,0.0001,0.999,0.95,-369.4663818171692
